単語,出現回数,正規化値,フォントサイズ,カスタム,頻度計算値,差分
システム,153,1.000,40.0,,1.000,
情報,130,0.810,37.2,,0.810,
材料,126,0.777,36.7,,0.777,
知識,119,0.719,35.7,,0.719,
計算,103,0.587,33.4,,0.587,
環境,101,0.570,33.1,,0.570,
社会,100,0.562,33.0,,0.562,
構造,99,0.554,32.8,,0.554,
触媒,27,0.500,31.8,Yes,-0.041,+0.541
量子,32,0.500,31.8,Yes,0.000,+0.500
スパコン,2,0.500,31.8,Yes,-0.248,+0.748
AI,0,0.500,31.8,Yes,-0.264,+0.764
機械学習,0,0.500,31.8,Yes,-0.264,+0.764
暗黙知,0,0.500,31.8,Yes,-0.264,+0.764
ヒューマン,3,0.500,31.8,Yes,-0.240,+0.740
災害復興,0,0.500,31.8,Yes,-0.264,+0.764
マーケティング,4,0.500,31.8,Yes,-0.231,+0.731
創薬,0,0.500,31.8,Yes,-0.264,+0.764
IoT,10,0.500,31.8,Yes,-0.182,+0.682
ドローン,0,0.500,31.8,Yes,-0.264,+0.764
スマート,9,0.500,31.8,Yes,-0.190,+0.690
最適化,0,0.500,31.8,Yes,-0.264,+0.764
デザイン,23,0.500,31.8,Yes,-0.074,+0.574
学習,89,0.471,31.2,,0.471,
ナノ,84,0.430,30.4,,0.430,
機能,80,0.397,29.6,,0.397,
モデル,79,0.388,29.5,,0.388,
人間,75,0.355,28.7,,0.355,
データ,72,0.331,28.1,,0.331,
細胞,70,0.314,27.7,,0.314,
分子,68,0.298,27.3,,0.298,
言語,66,0.281,26.8,,0.281,
理論,64,0.264,26.4,,0.264,
状態,60,0.231,25.5,,0.231,
タンパク質,60,0.231,25.5,,0.231,
電池,58,0.215,25.0,,0.215,
Ai for Science,0,0.200,24.5,Yes,-0.264,+0.464
設計,56,0.198,24.5,,0.198,
制御,56,0.198,24.5,,0.198,
機械,54,0.182,23.9,,0.182,
検証,54,0.182,23.9,,0.182,
粒子,53,0.174,23.7,,0.174,
人工,52,0.165,23.4,,0.165,
ロボット,52,0.165,23.4,,0.165,
認知,51,0.157,23.1,,0.157,
理解,50,0.149,22.8,,0.149,
半導体,48,0.132,22.2,,0.132,
電子,47,0.124,21.9,,0.124,
ゲーム,46,0.116,21.5,,0.116,
合成,46,0.116,21.5,,0.116,
創造,45,0.107,21.2,,0.107,
能力,44,0.099,20.8,,0.099,
医療,43,0.091,20.4,,0.091,
生体,43,0.091,20.4,,0.091,
サービス,42,0.083,20.0,,0.083,
効率,42,0.083,20.0,,0.083,
ソフトウェア,42,0.083,20.0,,0.083,
暗号,42,0.083,20.0,,0.083,
形式,40,0.066,19.2,,0.066,
原子,40,0.066,19.2,,0.066,
ネットワーク,39,0.058,18.7,,0.058,
論理,39,0.058,18.7,,0.058,
デバイス,37,0.041,17.7,,0.041,
組織,36,0.033,17.1,,0.033,
発見,36,0.033,17.1,,0.033,
安全,36,0.033,17.1,,0.033,
物質,36,0.033,17.1,,0.033,
解明,35,0.025,16.4,,0.025,
画像,35,0.025,16.4,,0.025,
高分子,35,0.025,16.4,,0.025,
文化,34,0.017,15.6,,0.017,
世界,34,0.017,15.6,,0.017,
アルゴリズム,34,0.017,15.6,,0.017,
化学,34,0.017,15.6,,0.017,
自然,33,0.008,14.5,,0.008,
プロセス,32,0.000,12.0,,0.000,
中心,32,0.000,12.0,,0.000,
コミュニケーション,32,0.000,12.0,,0.000,
data,32,0.000,12.0,,0.000,
バイオ,32,0.000,12.0,,0.000,
